Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
课程: 数据挖掘与分析,,,发起教师: 俞雷,,,,,发起时间: 2022-04-02 14:57:47,,,
班级: 0217191,,,总组数: 20组,,,,,截止时间: 2022-04-03 14:57:47,,,
学号/工号,学校,院系,专业,行政班级,提交时间,提交标题,提交内容,所处分组,得分,组间评价(100%),评价详情
011219202,上海工程技术大学,电子电气工程学院,数据科学与大数据技术,0217191,2022-04-02 15:58:40,你说对就队,打分,第2组,91.0,91,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=7000000628356&targetUid=112108130&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
011617118,上海工程技术大学,机械与汽车工程学院,机械电子工程,0116171,2022-04-02 16:21:55,打分,讲得很好,第13组,92.0,92,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=7000000628367&targetUid=58724909&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
021317327,上海工程技术大学,电子电气工程学院,电气工程及其自动化,0213173,,,,,,,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=0&targetUid=62410904&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
021317338,上海工程技术大学,电子电气工程学院,电气工程及其自动化,0213173,2022-04-02 15:58:31,你说对就队,n,第1组,92.0,92,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=7000000628355&targetUid=62410914&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
021519312,上海工程技术大学,电子电气工程学院,数据科学与大数据技术,0217191,2022-04-02 16:48:57,你说对就队,birch,第12组,90.0,90,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=7000000628366&targetUid=112105237&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
021519313,上海工程技术大学,电子电气工程学院,数据科学与大数据技术,0217191,2022-04-02 16:21:58,你说对就队,1,第14组,90.0,90,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=7000000628368&targetUid=112105238&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
021717126,上海工程技术大学,电子电气工程学院,数据科学与大数据技术,0217171,,,,,,,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=0&targetUid=58719875&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
021718132,上海工程技术大学,电子电气工程学院,数据科学与大数据技术,0217181,,,,,,,https://mobilelearn.chaoxing.com/page/renwu/personalScoreOnlyRead?activeId=7000018497809&groupId=0&targetUid=91391886&classId=51233038&courseId=222892702&isTeacherViewOpen=1&fid=0
